level,component_reference,component_name,component_quantity,parent_bom_reference,parent_bom_name,has_child_bom
0,M01426,Dust Shoe 59mm (VFD Spindle compatible),1.00,,,True
1,M00472,DST-59 - Magnet Bag - M4,1.00,M01426,Dust Shoe 59mm (VFD Spindle compatible),True
2,M00635,Magnet M4 thread Ø 20mm,2.00,M00472,DST-59 - Magnet Bag - M4,False
2,M00637,Magnet Washer Ø 18mm,2.00,M00472,DST-59 - Magnet Bag - M4,False
1,M00473,DST-59 - Miscellaneous Components Bag,1.00,M01426,Dust Shoe 59mm (VFD Spindle compatible),True
2,M00836,TFHC M3x16 Black screw,2.00,M00473,DST-59 - Miscellaneous Components Bag,False
2,M01696,DIN912 M4x10 Black screw,2.00,M00473,DST-59 - Miscellaneous Components Bag,False
2,M00432,DIN912 M4x45 Black Screw,3.00,M00473,DST-59 - Miscellaneous Components Bag,False
2,M00455,DIN912 M6x50 Black screw,2.00,M00473,DST-59 - Miscellaneous Components Bag,False
2,M00842,Tooth Lock Washer DIN6798 M6 Type A Black,4.00,M00473,DST-59 - Miscellaneous Components Bag,False
2,M00628,Lock Nut DIN985 M3,2.00,M00473,DST-59 - Miscellaneous Components Bag,False
2,M00629,Lock Nut DIN985 M4,5.00,M00473,DST-59 - Miscellaneous Components Bag,False
2,M00630,Lock Nut DIN985 M6,2.00,M00473,DST-59 - Miscellaneous Components Bag,False
2,M00795,Spacer M5x19mm,3.00,M00473,DST-59 - Miscellaneous Components Bag,False
2,M01675,DIN912 M4x25 Black screw,2.00,M00473,DST-59 - Miscellaneous Components Bag,False
1,M00474,Dust Shoe 59mm - PMMA Parts,1.00,M01426,Dust Shoe 59mm (VFD Spindle compatible),False
1,M00477,"DST-59 - Brush 40mm, 545mm length",1.00,M01426,Dust Shoe 59mm (VFD Spindle compatible),True
2,M00475,Dust Shoe Brush 40mm (m),0.56,M00477,"DST-59 - Brush 40mm, 545mm length",False
